Experiment	BigWig	Tissue
ENCSR297ORG	ENCFF418ZEG	muscle_of_leg_male_fetal_96_days
ENCSR299INS	ENCFF319GKJ	right_lung_female_fetal_105_days
ENCSR301RCD	ENCFF995CIY	renal_pelvis_male_fetal_127_days
ENCSR303YII	ENCFF047VUE	muscle_of_arm_male_fetal_96_days
ENCSR305UJX	ENCFF282ZAA	heart_male_child_3_years
ENCSR309FOO	ENCFF194HAH	brain_female_fetal_117_days
ENCSR309YDN	ENCFF025ILA	muscle_of_arm_female_fetal_85_days
ENCSR311LLZ	ENCFF838SZN	heart_male_fetal_110_days
ENCSR314EZY	ENCFF681DIN	L1-S8
ENCSR317SIH	ENCFF522DSE	muscle_of_back_male_fetal_91_day
ENCSR318JAA	ENCFF099GRH	left_renal_pelvis_male_fetal_105_days
ENCSR318PRQ	ENCFF269ALE	middle_frontal_gyrus_male_adult_78_years
ENCSR318WOD	ENCFF801OUO	lung_male_fetal_103_days
ENCSR320PGJ	ENCFF692KPG	heart_male_fetal_105_days
ENCSR320SVK	ENCFF135CPW	left_renal_pelvis_male_fetal_120_days
ENCSR320TUJ	ENCFF783FLC	common_myeloid_progenitorCD34-positive_female_adult_50_years
ENCSR328UMC	ENCFF574QQF	hematopoietic_multipotent_progenitor_cell_female_adult_34_years
ENCSR332BSB	ENCFF300AQW	right_kidney_male_fetal_87_days
ENCSR342NCX	ENCFF010DVG	thymus_female_fetal_113_days
ENCSR344FLH	ENCFF461VFY	brain_female_fetal_109_days
ENCSR346IHH	ENCFF576IAN	Daoy
ENCSR346JWH	ENCFF891YXC	A673
ENCSR354FBA	ENCFF932WHR	small_intestine_male_fetal_115_days
ENCSR356QCD	ENCFF123GKN	muscle_of_arm_male_fetal_101_day
ENCSR357PMV	ENCFF692UQA	muscle_of_arm_female_fetal_120_days
ENCSR357RED	ENCFF644ENL	muscle_of_back_male_fetal_105_days
ENCSR360LBD	ENCFF996HZH	skin_fibroblast_male_fetal_97_days
ENCSR362JSZ	ENCFF244XNK	hematopoietic_multipotent_progenitor_cell_male_adult_25_years_treated_with_interleukin-3_kit_ligand_hydrocortisone_succinate_erythropoietin
ENCSR364MFN	ENCFF315GOQ	hepatocyte_derived_from_H9
ENCSR364TKL	ENCFF312TEV	renal_pelvis_male_fetal_97_days
ENCSR366EGE	ENCFF371GMM	heart_fetal_101_day
ENCSR366EQH	ENCFF974LGX	large_intestine_male_fetal_115_days
ENCSR366YTD	ENCFF123MWQ	T-cell_male_adult_37_years
ENCSR371KRY	ENCFF400HQI	skin_fibroblast_male_fetal_97_days
ENCSR373BIX	ENCFF002YNE	CD1c-positive_myeloid_dendritic_cell
ENCSR382JUJ	ENCFF201HKW	superior_temporal_gyrus_male_adult_84_years
ENCSR383SNM	ENCFF514NIM	iPS_DF_19.11_male_newborn
ENCSR385AMY	ENCFF725ZGB	hindlimb_muscle_male_fetal_120_days
ENCSR392GCE	ENCFF533IIX	heart_male_fetal_120_days
ENCSR405TXU	ENCFF659DZH	adipocyte
ENCSR411MGY	ENCFF482WUZ	muscle_of_trunk_female_fetal_121_day
ENCSR414IHC	ENCFF712AVN	T-cell_male_adult_21_year
ENCSR414ZUA	ENCFF607UOT	right_kidney_male_fetal_108_days
ENCSR419MZH	ENCFF270FTD	adrenal_gland_female_fetal_108_days
ENCSR420NOA	ENCFF235TAW	hematopoietic_multipotent_progenitor_cell_male_adult_25_years_treated_with_interleukin-3_kit_ligand_hydrocortisone_succinate_erythropoietin
ENCSR422PVL	ENCFF739SUN	left_kidney_female_fetal_147_days
ENCSR425MRQ	ENCFF039JSC	CD4-positive_helper_T_cell_male_adult_37_years
ENCSR426IEA	ENCFF715TDE	KBM-7
ENCSR428XAX	ENCFF255TDF	ovary_female
ENCSR429RHR	ENCFF461ZZI	RKO
ENCSR435NHO	ENCFF777KLE	embryonic_facial_prominence_fetal_53_days_and_fetal_58_days
ENCSR437KLY	ENCFF513BMX	kidney_female_fetal_85_days
ENCSR438TWI	ENCFF004KMH	muscle_of_back_male_fetal_96_days
ENCSR440FZS	ENCFF472WHS	muscle_of_trunk_female_fetal_113_days
ENCSR440QMR	ENCFF370FTT	iPS_DF_19.7_male_newborn
ENCSR441MMO	ENCFF774TWP	right_lung_female_fetal_110_days
ENCSR441OGH	ENCFF641YGN	left_lung_male_fetal_87_days
ENCSR444VTC	ENCFF741OUT	large_intestine_female_fetal_105_days
ENCSR445XYW	ENCFF666ELC	right_lung_female_fetal_98_days
ENCSR452EGE	ENCFF556TQV	muscle_of_arm_male_fetal_120_days
ENCSR453EVC	ENCFF059TJM	common_myeloid_progenitorCD34-positive_male_adult_36_years
ENCSR456KDF	ENCFF040KEJ	left_lung_female_fetal_108_days
ENCSR456SOX	ENCFF856IEB	prostate_gland_male_adult_54_years
ENCSR457ILW	ENCFF917XEU	small_intestine_female_fetal_91_day
ENCSR458LIB	ENCFF182SDS	MM.1S
ENCSR468OVW	ENCFF673CVD	left_lung_female_fetal_105_days
ENCSR475SYH	ENCFF844QLU	testis_male_adult_37_years
ENCSR475VQD	ENCFF005EFQ	brain_male_fetal_72_days_and_male_fetal_76_days
ENCSR476SDZ	ENCFF702DON	muscle_of_back_male_fetal_108_days
ENCSR477RTP	ENCFF868PZL	IMR-90_female_fetal_16_weeks
ENCSR482HQE	ENCFF446UER	lung_female_fetal_108_days
ENCSR488PHT	ENCFF639DDE	left_lung_male_fetal_113_days
ENCSR489NAM	ENCFF020KCP	OCI-LY7
ENCSR493IAY	ENCFF620JKR	hematopoietic_multipotent_progenitor_cell_male_adult_25_years_treated_with_interleukin-3_kit_ligand_hydrocortisone_succinate_erythropoietin
ENCSR495INQ	ENCFF033TFX	common_myeloid_progenitorCD34-positive_male_adult_42_years
ENCSR499IFY	ENCFF594VCA	placenta_fetal_53_days
ENCSR499PZA	ENCFF562KFO	kidney_male_fetal_105_days
ENCSR501FWC	ENCFF290GMX	heart_left_ventricle_female_fetal_101_day_and_female_fetal_136_days
ENCSR502NDK	ENCFF518XNS	small_intestine_female_fetal_108_days
ENCSR503BEM	ENCFF747YWZ	LoVo
ENCSR504KZE	ENCFF303ELS	lung_fetal_67_days
ENCSR510ITB	ENCFF472WZP	left_lung_male_fetal_91_day
ENCSR511GQA	ENCFF018KVX	stomach_female_fetal_108_days
ENCSR512CWR	ENCFF833UQA	umbilical_cord_male_fetal_76_days
ENCSR514QHN	ENCFF619YGB	muscle_of_leg_male_fetal_105_days
ENCSR515EWI	ENCFF635NYX	Caki2
ENCSR517NHP	ENCFF331YRI	muscle_of_arm_female_fetal_105_days
ENCSR518JGY	ENCFF966HSU	foreskin_melanocyte_male_newborn
ENCSR522FGG	ENCFF890AFN	stomach_male_fetal_108_days
ENCSR522WLH	ENCFF376WLQ	body_of_pancreas_male_adult_37_years
ENCSR524DWS	ENCFF347ITC	renal_cortex_interstitium_female_fetal_120_days
ENCSR527PAX	ENCFF354BHR	kidney_female_fetal_113_days
ENCSR531HPD	ENCFF543WLC	large_intestine_male_fetal_105_days
ENCSR532CRI	ENCFF707HAW	limb_fetal_58_days_and_fetal_59_days
