Experiment	BigWig	Tissue
ENCSR718AAB	ENCFF778PKW	natural killer cell male adult (37 years)
ENCSR265TEK	ENCFF300DNB	NCI-H226
ENCSR265TEK	ENCFF138ZXM	NCI-H226
ENCSR278FVO	ENCFF410SCO	neuronal stem cell
ENCSR278FVO	ENCFF979REO	neuronal stem cell
ENCSR000EOF	ENCFF535YLA	non-pigmented ciliary epithelial cell
ENCSR000EOF	ENCFF756RXC	non-pigmented ciliary epithelial cell
ENCSR000EPS	ENCFF554XCA	NT2/D1
ENCSR000EPS	ENCFF907SVU	NT2/D1
ENCSR859CZM	ENCFF338BLS	occipital lobe male adult (84 years)
ENCSR489NAM	ENCFF882EHI	OCI-LY7
ENCSR489NAM	ENCFF250VAO	OCI-LY7
ENCSR712PYJ	ENCFF745QDG	ovary female adult (30 years)
ENCSR855DJV	ENCFF454WFN	ovary female adult (51 year)
ENCSR428XAX	ENCFF839AVM	ovary female
ENCSR000EPT	ENCFF501CXB	Panc1
ENCSR000EPT	ENCFF355UBT	Panc1
ENCSR595HZQ	ENCFF094JKL	pancreas female adult (30 years)
ENCSR178JBL	ENCFF137KLD	pancreas male adult (34 years)
ENCSR052AWE	ENCFF146WUK	PC-3
ENCSR052AWE	ENCFF683CUE	PC-3
ENCSR940NLN	ENCFF695LYU	PC-9
ENCSR940NLN	ENCFF545REN	PC-9
ENCSR575VMI	ENCFF005KRN	placenta female fetal (101 day) and male fetal (105 days)
ENCSR575VMI	ENCFF779IST	placenta female fetal (101 day) and male fetal (105 days)
ENCSR989YIV	ENCFF230MUG	placenta male fetal (91 day)
ENCSR802AJE	ENCFF397XYY	placenta male fetal (85 days)
ENCSR648RAX	ENCFF357ABO	placenta female fetal (85 days)
ENCSR129TSG	ENCFF937QRE	placenta female fetal (108 days)
ENCSR499IFY	ENCFF993ORH	placenta fetal (53 days)
ENCSR545KQR	ENCFF065TZD	placenta female fetal (105 days)
ENCSR829MXU	ENCFF094CLD	pons male adult (78 years)
ENCSR456SOX	ENCFF529MYU	prostate gland male adult (54 years)
ENCSR000EOG	ENCFF263TNG	pulmonary artery endothelial cell female
ENCSR037PGI	ENCFF413YRT	RCC 7860
ENCSR037PGI	ENCFF405QQS	RCC 7860
ENCSR000EQK	ENCFF871DFU	regulatory T-lymphocyte male adult (28 years)
ENCSR849OKE	ENCFF722LAF	renal cortex interstitium male fetal (127 days)
ENCSR129KIV	ENCFF956RBR	renal cortex interstitium male fetal (108 days)
ENCSR022ECC	ENCFF859EEZ	renal cortex interstitium female fetal (96 days)
ENCSR656QYL	ENCFF429SMH	renal cortex interstitium female fetal (103 days)
ENCSR851ZFT	ENCFF372EFE	renal cortex interstitium female fetal (89 days)
ENCSR828RNY	ENCFF156WFX	renal cortex interstitium male fetal (108 days)
ENCSR524DWS	ENCFF441QSB	renal cortex interstitium female fetal (120 days)
ENCSR254AGA	ENCFF736BUG	renal cortex interstitium male fetal (91 day)
ENCSR155NPL	ENCFF373GBY	renal cortex interstitium male fetal (113 days)
ENCSR550UWM	ENCFF452UFP	renal cortex interstitium male fetal (97 days)
ENCSR932DHT	ENCFF929XHF	renal cortex interstitium female adult (96 days)
ENCSR000EOK	ENCFF198QAV	renal cortical epithelial cell
ENCSR000EOK	ENCFF444FHJ	renal cortical epithelial cell
ENCSR619DRM	ENCFF551WIT	renal pelvis female fetal (105 days)
ENCSR956ZHU	ENCFF512FBG	renal pelvis male fetal (113 days)
ENCSR913NYL	ENCFF173CRM	renal pelvis male fetal (108 days)
ENCSR580OAH	ENCFF651PFL	renal pelvis male fetal (91 day)
ENCSR141DMX	ENCFF265XHK	renal pelvis female fetal (96 days)
ENCSR911YVV	ENCFF719ICX	renal pelvis female fetal (89 days)
ENCSR606UAR	ENCFF574SOK	renal pelvis female adult (96 days)
ENCSR554WUJ	ENCFF467EBE	renal pelvis female fetal (103 days)
ENCSR301RCD	ENCFF849ZBT	renal pelvis male fetal (127 days)
ENCSR364TKL	ENCFF279UDT	renal pelvis male fetal (97 days)
ENCSR820ICX	ENCFF175TXH	retina female fetal (89 days)
ENCSR000EON	ENCFF881NZP	retinal pigment epithelial cell
ENCSR000EON	ENCFF234LFJ	retinal pigment epithelial cell
ENCSR036VRV	ENCFF482QLZ	right kidney female fetal (107 days)
ENCSR017TFH	ENCFF462VWZ	right kidney female fetal (87 days)
ENCSR768OLL	ENCFF069GYO	right kidney male fetal (91 day)
ENCSR414ZUA	ENCFF410SUO	right kidney male fetal (108 days)
ENCSR884MCZ	ENCFF970EGZ	right kidney female fetal (98 days)
ENCSR871APX	ENCFF636TCJ	right kidney female fetal (147 days)
ENCSR765BSU	ENCFF787HVY	right kidney female fetal (117 days)
ENCSR990XXC	ENCFF385NYE	right kidney male fetal (115 days)
ENCSR670ZSA	ENCFF416IVO	right kidney male fetal (96 days)
ENCSR332BSB	ENCFF195IVX	right kidney male fetal (87 days)
ENCSR174TIP	ENCFF146TAJ	right lobe of liver female adult (53 years)
ENCSR441MMO	ENCFF609JAO	right lung female fetal (110 days)
ENCSR947VPG	ENCFF744NDJ	right lung male fetal (87 days)
ENCSR263IGU	ENCFF056ZXP	right lung female fetal (91 day)
ENCSR445XYW	ENCFF866ESU	right lung female fetal (98 days)
ENCSR964VVW	ENCFF246OIS	right lung male fetal (96 days)
ENCSR846CTA	ENCFF716EXB	right lung male fetal (105 days)
ENCSR859KGQ	ENCFF148JQJ	right lung female fetal (107 days)
ENCSR845MEJ	ENCFF472NLO	right lung female fetal (117 days)
ENCSR930AUG	ENCFF640MTK	right lung female fetal (108 days)
ENCSR228BOM	ENCFF796ACO	right lung male fetal (115 days)
ENCSR299INS	ENCFF173NEB	right lung female fetal (105 days)
ENCSR268QCH	ENCFF400NIU	right renal cortex interstitium male fetal (105 days)
ENCSR014VAC	ENCFF845ELC	right renal cortex interstitium male fetal (105 days)
ENCSR887BNC	ENCFF609VAF	right renal cortex interstitium male fetal (120 days)
ENCSR752NTF	ENCFF416URI	right renal pelvis male fetal (105 days)
ENCSR761ZFA	ENCFF815YFD	right renal pelvis male fetal (105 days)
ENCSR540PVZ	ENCFF336NKZ	right renal pelvis male fetal (120 days)
ENCSR986HEN	ENCFF194GUW	right renal pelvis male fetal (105 days)
ENCSR429RHR	ENCFF764GCL	RKO
ENCSR429RHR	ENCFF394XFG	RKO
ENCSR594NOE	ENCFF523SMY	RPMI8226
ENCSR594NOE	ENCFF323KSG	RPMI8226
ENCSR592DQC	ENCFF753RJB	sigmoid colon male adult (37 years)
ENCSR907VOR	ENCFF682LGC	sigmoid colon female adult (53 years)
ENCSR000FFJ	ENCFF209UDB	SJCRH30
ENCSR000FFJ	ENCFF961CDE	SJCRH30
ENCSR700ILE	ENCFF493CDJ	SJCRH30
ENCSR620WAR	ENCFF253AAM	SJSA1
ENCSR620WAR	ENCFF880TIR	SJSA1
ENCSR946MVP	ENCFF279BCQ	SK-N-DZ
ENCSR946MVP	ENCFF882JKR	SK-N-DZ
ENCSR000EPY	ENCFF762MGA	SK-N-MC
ENCSR000EPY	ENCFF174YAR	SK-N-MC
ENCSR000EPZ	ENCFF899IXG	SK-N-SH treated with all-trans-retinoic acid
ENCSR000EPZ	ENCFF251ETM	SK-N-SH treated with all-trans-retinoic acid
ENCSR670VQZ	ENCFF571RJC	skin fibroblast male fetal (97 days)
ENCSR371KRY	ENCFF955IYA	skin fibroblast male fetal (97 days)
ENCSR587STM	ENCFF889CQB	skin fibroblast male fetal (97 days)
ENCSR562ACY	ENCFF504JOU	skin fibroblast male fetal (97 days)
ENCSR000EMO	ENCFF942PLS	skin fibroblast female adult (31 year)
